Symbol,Option name,Strike,Price,BaroneAdiseWhaely,BjerksundStensland,FDAmericanEngine,jr,crr,eqp,trigeorgis,tian,lr
MMM,MMM170120P00195000,195,28.5,97.95,97.95,97.95,97.95,97.95,97.95,97.95,97.95,97.95
MMM,MMM170120P00210000,210,45.2,112.95,112.95,112.95,112.95,112.95,112.95,112.95,112.95,112.95
MMM,MMM170120P00220000,220,67.3,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94
MMM,MMM170120P00230000,230,65,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94
MMM,MMM180119P00070000,70,0.73,0,0,0,0,0,0,0,0,0
MMM,MMM180119P00075000,75,0.98,0,0,0,0,0,0,0,0,0
MMM,MMM180119P00080000,80,1.1,0,0,0,0,0,0,0,0,0
MMM,MMM180119P00085000,85,1.28,0,0,0,0,0,0,0,0,0
MMM,MMM180119P00090000,90,1.83,0,0,0,0,0,0,0,0,0
MMM,MMM180119P00095000,95,2.21,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119
MMM,MMM180119P00100000,100,2.1,2.977,2.977,2.981,2.981,2.981,2.981,2.981,2.981,2.981
MMM,MMM180119P00105000,105,2.77,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
MMM,MMM180119P00110000,110,3,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94
MMM,MMM180119P00115000,115,3.96,17.94,17.94,17.94,17.94,17.94,17.94,17.94,17.94,17.94
MMM,MMM180119P00120000,120,3.9,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
MMM,MMM180119P00125000,125,4.7,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95
MMM,MMM180119P00130000,130,5.5,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95
MMM,MMM180119P00135000,135,6.45,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95
MMM,MMM180119P00140000,140,7.45,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95
MMM,MMM180119P00145000,145,8.55,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95
MMM,MMM180119P00150000,150,10.25,52.95,52.95,52.95,52.95,52.95,52.95,52.95,52.95,52.95
MMM,MMM180119P00155000,155,11.6,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95
MMM,MMM180119P00160000,160,13.65,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96
MMM,MMM180119P00165000,165,15.75,67.96,67.96,67.96,67.96,67.96,67.96,67.96,67.96,67.96
MMM,MMM180119P00170000,170,18.05,72.97,72.97,72.97,72.97,72.97,72.97,72.97,72.97,72.97
MMM,MMM180119P00175000,175,20.95,77.97,77.97,77.97,77.97,77.97,77.97,77.97,77.97,77.97
MMM,MMM180119P00180000,180,26.4,82.97,82.97,82.97,82.97,82.97,82.97,82.97,82.97,82.97
MMM,MMM180119P00185000,185,28,87.97,87.97,87.97,87.97,87.97,87.97,87.97,87.97,87.97
MMM,MMM180119P00190000,190,32.3,92.96,92.96,92.96,92.96,92.96,92.96,92.96,92.96,92.96
MMM,MMM180119P00195000,195,34.55,97.97,97.97,97.97,97.97,97.97,97.97,97.97,97.97,97.97
MMM,MMM180119P00200000,200,57,102.97,102.97,102.97,102.97,102.97,102.97,102.97,102.97,102.97
MMM,MMM180119P00210000,210,48.2,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96
MMM,MMM180119P00220000,220,69,122.97,122.97,122.97,122.97,122.97,122.97,122.97,122.97,122.97
AXP,AXP160603P00056000,56,0.02,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00057000,57,0.03,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00058000,58,0.13,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00058500,58.5,0.19,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00059500,59.5,0.01,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00060500,60.5,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00061000,61,0.02,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00061500,61.5,0.05,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00062000,62,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00062500,62.5,0.02,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00063000,63,0.14,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00063500,63.5,0.02,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00064000,64,0.03,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00064500,64.5,0.03,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00065000,65,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00065500,65.5,0.12,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00066000,66,0.39,0,0,0,0,0,0,0,0,0
AXP,AXP160603P00070000,70,7.65,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00054000,54,0.02,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00055000,55,0.08,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00057000,57,0.09,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00058000,58,0.12,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00058500,58.5,0.14,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00059000,59,0.22,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00060000,60,0.05,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00061000,61,0.19,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00061500,61.5,0.05,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00062000,62,0.1,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00062500,62.5,0.1,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00063000,63,0.72,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00063500,63.5,0.12,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00064000,64,0.2,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00064500,64.5,0.42,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00065000,65,0.26,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00065500,65.5,0.39,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00066000,66,0.6,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00066500,66.5,1.14,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00067500,67.5,3.6,0,0,0,0,0,0,0,0,0
AXP,AXP160610P00073500,73.5,7.9,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00045000,45,0.05,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00050000,50,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00052500,52.5,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00053000,53,0.03,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00053500,53.5,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00055000,55,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00056500,56.5,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00057000,57,0.05,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00057500,57.5,0.04,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00058500,58.5,0.07,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00059000,59,0.17,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00060000,60,0.06,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00061000,61,0.13,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00061500,61.5,0.14,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00062000,62,0.2,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00062500,62.5,0.15,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00063000,63,0.19,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00063500,63.5,0.3,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00064000,64,0.33,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00064500,64.5,0.45,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00065000,65,0.48,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00065500,65.5,1.06,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00066000,66,0.96,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00066500,66.5,1.18,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00067000,67,1.61,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00067500,67.5,2.29,0,0,0,0,0,0,0,0,0
AXP,AXP160617P00070000,70,4.4,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00059000,59,0.4,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00059500,59.5,0.18,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00060000,60,0.2,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00060500,60.5,0.51,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00061500,61.5,0.25,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00062000,62,0.47,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00062500,62.5,0.43,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00063000,63,0.38,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00063500,63.5,0.51,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00064000,64,0.72,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00064500,64.5,0.82,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00065000,65,0.8,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00065500,65.5,0.93,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00067500,67.5,4.6,0,0,0,0,0,0,0,0,0
AXP,AXP160624P00069000,69,5.9,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00054000,54,0.06,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00058000,58,0.21,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00058500,58.5,0.51,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00059000,59,0.18,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00059500,59.5,0.59,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00060000,60,0.77,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00060500,60.5,0.25,0,0,0,0,0,0,0,0,0
AXP,AXP160701P00061000,61,0.88,0,0,0,0,0,0,0,0,0
