Symbol,Tag,Strike,Real,Barone-Adesi Whaley,Bjerksund-Stensland,FDAmerican,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
PFE,PFE170120C00023000,23,11.15,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703
PFE,PFE170120C00025000,25,9.6,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705
PFE,PFE170120C00028000,28,7,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708
PFE,PFE170120C00029000,29,5.2,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709
PFE,PFE170120C00030000,30,5.15,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE170120C00031000,31,4.25,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE170120C00032000,32,3.55,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE170120C00033000,33,2.93,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE170120C00034000,34,2.16,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE170120C00035000,35,1.63,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00036000,36,1.21,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00037000,37,0.87,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00038000,38,0.57,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00039000,39,0.41,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00040000,40,0.28,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00041000,41,0.17,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00042000,42,0.12,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00043000,43,0.09,0,0,0,0,0,0,0,0,0
